TARIH,ISLEM  KODU,KAPANIS FIYATI
2017-09-18,AKBNK.E,10.17
2017-09-12,AKBNK.E,10.19
2017-09-05,AKBNK.E,10.34
2017-09-22,AKBNK.E,9.93
2017-09-21,AKBNK.E,9.71
2017-09-06,AKBNK.E,10.26
2017-09-20,AKBNK.E,9.85
2017-09-15,AKBNK.E,10.23
2017-09-27,AKBNK.E,9.34
2017-09-28,AKBNK.E,9.45
2017-09-07,AKBNK.E,10.15
2017-09-14,AKBNK.E,10.2
2017-09-29,AKBNK.E,9.4
2017-09-19,AKBNK.E,9.91
2017-09-25,AKBNK.E,9.8
2017-09-11,AKBNK.E,10.14
2017-09-08,AKBNK.E,10.03
2017-09-26,AKBNK.E,9.91
2017-09-13,AKBNK.E,10.08
2017-09-28,ARCLK.E,22.62
2017-09-13,ARCLK.E,23.18
2017-09-14,ARCLK.E,23.04
2017-09-29,ARCLK.E,22.72
2017-09-15,ARCLK.E,23.3
2017-09-26,ARCLK.E,22.94
2017-09-18,ARCLK.E,23.16
2017-09-12,ARCLK.E,23.12
2017-09-27,ARCLK.E,22.58
2017-09-08,ARCLK.E,23.5
2017-09-11,ARCLK.E,23.4
2017-09-07,ARCLK.E,23.6
2017-09-25,ARCLK.E,22.28
2017-09-22,ARCLK.E,22.76
2017-09-19,ARCLK.E,22.68
2017-09-20,ARCLK.E,22.54
2017-09-06,ARCLK.E,23.66
2017-09-05,ARCLK.E,24.1
2017-09-21,ARCLK.E,22.92
2017-09-21,ASELS.E,26.36
2017-09-26,ASELS.E,25.04
2017-09-07,ASELS.E,26.84
2017-09-12,ASELS.E,27.1
2017-09-28,ASELS.E,26.34
2017-09-06,ASELS.E,26.9
2017-09-15,ASELS.E,27.34
2017-09-22,ASELS.E,26.2
2017-09-18,ASELS.E,26.9
2017-09-19,ASELS.E,26.4
2017-09-13,ASELS.E,27.48
2017-09-25,ASELS.E,24.44
2017-09-05,ASELS.E,26.7
2017-09-11,ASELS.E,27.08
2017-09-29,ASELS.E,26.3
2017-09-20,ASELS.E,26.78
2017-09-27,ASELS.E,25.12
2017-09-08,ASELS.E,26.76
2017-09-14,ASELS.E,27.42
2017-09-27,BIMAS.E,73.25
2017-09-14,BIMAS.E,74.4
2017-09-26,BIMAS.E,74.35
2017-09-21,BIMAS.E,75.5
2017-09-15,BIMAS.E,74
2017-09-20,BIMAS.E,76
2017-09-25,BIMAS.E,75.8
2017-09-22,BIMAS.E,76.6
2017-09-06,BIMAS.E,77.4
2017-09-28,BIMAS.E,73.85
2017-09-07,BIMAS.E,78.05
2017-09-29,BIMAS.E,74.25
2017-09-18,BIMAS.E,75.4
2017-09-13,BIMAS.E,75.25
2017-09-11,BIMAS.E,75.8
2017-09-08,BIMAS.E,75.95
2017-09-19,BIMAS.E,75.35
2017-09-05,BIMAS.E,75.95
2017-09-12,BIMAS.E,75.25
2017-09-12,EREGL.E,8.02
2017-09-21,EREGL.E,7.52
2017-09-06,EREGL.E,8.15
2017-09-22,EREGL.E,7.41
2017-09-13,EREGL.E,7.81
2017-09-05,EREGL.E,8.12
2017-09-26,EREGL.E,7.86
2017-09-20,EREGL.E,7.58
2017-09-07,EREGL.E,8.15
2017-09-11,EREGL.E,8.1
2017-09-18,EREGL.E,7.73
2017-09-25,EREGL.E,7.5
2017-09-28,EREGL.E,7.68
2017-09-08,EREGL.E,8.05
2017-09-29,EREGL.E,7.73
2017-09-27,EREGL.E,7.8
2017-09-14,EREGL.E,7.98
2017-09-15,EREGL.E,7.85
2017-09-19,EREGL.E,7.48
2017-09-13,FROTO.E,48.14
2017-09-28,FROTO.E,44.7
2017-09-08,FROTO.E,49.88
2017-09-11,FROTO.E,48.62
2017-09-26,FROTO.E,45.06
2017-09-14,FROTO.E,47.84
2017-09-18,FROTO.E,48.58
2017-09-22,FROTO.E,47.66
2017-09-05,FROTO.E,48.46
2017-09-27,FROTO.E,42.8
2017-09-29,FROTO.E,45.6
2017-09-20,FROTO.E,47.7
2017-09-12,FROTO.E,48.48
2017-09-25,FROTO.E,46.44
2017-09-15,FROTO.E,48.3
2017-09-19,FROTO.E,48.3
2017-09-07,FROTO.E,50
2017-09-06,FROTO.E,49.04
2017-09-21,FROTO.E,48
2017-09-18,GARAN.E,10.57
2017-09-12,GARAN.E,10.46
2017-09-28,GARAN.E,9.83
2017-09-29,GARAN.E,9.68
2017-09-07,GARAN.E,10.67
2017-09-13,GARAN.E,10.43
2017-09-21,GARAN.E,10.14
2017-09-11,GARAN.E,10.47
2017-09-25,GARAN.E,9.99
2017-09-20,GARAN.E,10.44
2017-09-22,GARAN.E,10.23
2017-09-06,GARAN.E,10.59
2017-09-26,GARAN.E,10.21
2017-09-14,GARAN.E,10.55
2017-09-19,GARAN.E,10.33
2017-09-15,GARAN.E,10.56
2017-09-05,GARAN.E,10.54
2017-09-08,GARAN.E,10.44
2017-09-27,GARAN.E,9.61
2017-09-22,KCHOL.E,16.61
2017-09-06,KCHOL.E,17.82
2017-09-20,KCHOL.E,16.86
2017-09-08,KCHOL.E,17.63
2017-09-28,KCHOL.E,16.35
2017-09-18,KCHOL.E,17.36
2017-09-13,KCHOL.E,17.34
2017-09-11,KCHOL.E,17.59
2017-09-14,KCHOL.E,17.34
2017-09-21,KCHOL.E,16.66
2017-09-26,KCHOL.E,16.52
2017-09-05,KCHOL.E,17.69
2017-09-19,KCHOL.E,16.82
2017-09-12,KCHOL.E,17.37
2017-09-29,KCHOL.E,16.35
2017-09-27,KCHOL.E,16.19
2017-09-07,KCHOL.E,17.86
2017-09-25,KCHOL.E,16.37
2017-09-15,KCHOL.E,17.45
2017-09-07,KOZAA.E,7.84
2017-09-19,KOZAA.E,7.14
2017-09-29,KOZAA.E,7.06
2017-09-13,KOZAA.E,7.44
2017-09-28,KOZAA.E,6.89
2017-09-25,KOZAA.E,6.68
2017-09-22,KOZAA.E,6.76
2017-09-21,KOZAA.E,7
2017-09-08,KOZAA.E,7.56
2017-09-26,KOZAA.E,6.88
2017-09-14,KOZAA.E,7.67
2017-09-06,KOZAA.E,7.54
2017-09-15,KOZAA.E,7.48
2017-09-20,KOZAA.E,7.27
2017-09-18,KOZAA.E,7.29
2017-09-05,KOZAA.E,7.29
2017-09-27,KOZAA.E,6.72
2017-09-11,KOZAA.E,7.7
2017-09-12,KOZAA.E,7.55
